SKU#,Description,Local Description,Unit,Qty From,QtyTo,Quote Price,Foc,Discount Percent,Discount Amount,TaxType,TaxRate,Vendor SKU#,Comment
15070004,CEREAL KOKO KRUNCH NESTLE 1.5KG.(180842),ซีเรียล-โกโก้ครั้นซ์เนสท์เล่ 1.5 กก.(180842),BAG,,,389.99,,,,I,7,,
15070013,CORNFLAKES CEREAL NESTLE 1.5KG.(180864),ซีเรียล-คอร์นเฟลกส์เนสท์เล่ 1.5 กก.(180864),BAG,,,302.61,,,,I,7,,
15000003,NESCAFE CASE 2G.(1*108/ถุง)/(899867),เนสกาแฟซอง 2ก.(1*108/ถุง)/(899867),BAG,,,208.95,,,,I,7,,
15000006,COFFEE MATE SIZE 3G.(1*100)/(899868),คอฟฟี่เมต 3ก.1*100/ถุง,BAG,,,93.25,,,,I,7,,
15070003,CEREAL HONEY STARS NESTLE 300G.(175854),ซีเรียล-ฮันนี่สตาร์เนสท์เล่ 300ก.(175854),BOX,,,119.13,,,,I,7,,
15080030,SNACK-COIN CHECK TOPGOLUCKY BIG (8858694621245),ขนมตกแต่ง-คอยน์ช็อกท็อปโกลัคกี้ใหญ่(8858694621245),PACK,,,50,,,,I,7,,
15080024,SNACK-CHOC COIN GOLD SMALL(1x60)/(8850305320264),ขนมตกแต่ง-ช็อคคอยน์เหรียญทอง(เล็ก)(1x60)/(8850305320264),PACK,,,50,,,,I,7,,
15080025,SNACK-CHOC COIN GOLDEN BALL 120G.(8850305320400),ขนมตกแต่ง-ช็อคโกแลตช็อคคอยน์บอลทอง 120ก.(8850305320400),BOX,,,26,,,,I,7,,
15000034,SBUX-DARK ESPRESSO ROASTWB 1KG.(1*6)/CASE(12444854),สตาร์บัค-เมล็ดกาแฟคั่วเข้ม 1กก.(1*6)/ลัง(12444854),Case,,,9887,,,,I,7,,
15090007,SUGAR PURE REFINED MITR PHOL 1 KG. (1x5) (230449) : ,น้ำตาลทรายขาวบริสุทธิ์ มิตรผล 1 กก.(1x5)/(230449),KG,,,30,,,,I,7,,
15090066,น้ำตาลทรายขาวบริสุทธิ์ 1 กก.ตรามิตรผล 1*25/กส.(230394),น้ำตาลทรายขาวบริสุทธิ์ 1 กก.ตรามิตรผล 1*25/กส.(230394),Sack,,,750,,,,I,7,,
15000027,TEA HORSE 25 G. (1x12) (9005805030062),ชาม้าโหล 25ก.(1x12)/(9005805030062),PACK,,,65,,,,I,7,,
15080012,ปังปี๊บสับปะรดไทยเอเชียแม่เล็ก5กก.(8850801891060),ปังปี๊บสับปะรดไทยเอเชียแม่เล็ก5กก.(8850801891060),TANK,,,380,,,,I,7,,
14010020,THOUSAND ISLAND BEST FOODS 1 KG.(1x9) (184324),น้ำสลัดเทาซันไอแลนด์เบสท์ฟู้ดส์1 กก.(1x9)/(184324),BAG,,,165,,,,I,7,,
14030011,SALAD CREAM BEST FOODS 1KG.(1x9)/(184315),สลัดครีมเบสท์ฟู้ดส์ 1 กก.(1x9)/(184315),BAG,,,171,,,,I,7,,
26010078,SYRUP CONCENTRATED-HULBLUEBOY SA-LA 710 ML.1*12/80899,ไซรับเข้มข้น-กลิ่นสละสีแดง ตราเฮลซ์บลูบอย 710 มล.,Btl,,,66,,,,I,7,,
26010088,SYRUP CONCENTRATED-CREAM SODA HELBLUEBOY 710 ML.1*12/79365,น้ำหวานเข้มข้น-กลิ่นครีมโซดา ตราเฮลซ์บลูบอย 710 มล.1*12/79365,Btl,,,66,,,,I,7,,
20010001,WATER DRINKING CHANG 1500 ML.(1x6)/PACK,น้ำดื่มช้าง 1500 มล.(1x6)/แพ็ค,PACK,,,46,,,,I,7,,
20010002,WATER DRINKING CHANG 600 ML.1x12/(110140),น้ำดื่มช้าง 600 มล.1x12/แพ็ค(110140),PACK,,,46,,,,I,7,,
15080003,SNACK-CHOCOLATE WEFER BENG-BENG 22/25G.(1x12)/(226132),ขนมขบเคี้ยว-ช็อคโกแลตเวเฟอร์เบงเบง 22/25ก.(1x12)/(226132),PACK,,,48,,,,I,7,,
15080084,มันฝรั่งแผ่นหยักเกลือเหลือง เลย์ 11ก.(1x144)/(221581),มันฝรั่งแผ่นหยักเกลือเหลือง เลย์ 11ก.(1x144)/(221581),Case,,,584,,,,I,7,,
15080008,SNACK PEANUT SALTED TONG GARDEN 18/20 G.(1x12)(213330),ถั่วลิสงอบเกลือ ทองการ์เด้น 18/20ก.(1x12)/(213330),PACK,,,50,,,,I,7,,
26000005,JUICE MANDARIN JUICE MALEE 200 ML.1x24/(104254),น้ำผลไม้-ส้มแมนดารินมาลี 200 มล.1x24/(104254),CASE,,,413,,,,I,7,,
