SKU#,Description,Local Description,Unit,Qty From,QtyTo,Quote Price,Foc,Discount Percent,Discount Amount,TaxType,TaxRate,Vendor SKU#,Comment
15070004,CEREAL KOKO KRUNCH NESTLE 1.5KG.(180842),ซีเรียล-โกโก้ครั้นซ์เนสท์เล่ 1.5 กก.(180842),BAG,,,364.48,,,,A,7,,
15070013,CORNFLAKES CEREAL NESTLE 1.5KG.(180864),ซีเรียล-คอร์นเฟลกส์เนสท์เล่ 1.5 กก.(180864),BAG,,,282.81,,,,A,7,,
15000003,NESCAFE CASE 2G.(1*108/ถุง)/(899867),เนสกาแฟซอง 2ก.(1*108/ถุง)/(899867),BAG,,,195.28,,,,A,7,,
15000006,COFFEE MATE SIZE 3G.(1*100)/(899868),คอฟฟี่เมต 3ก.1*100/ถุง,BAG,,,87.15,,,,A,7,,
15070003,CEREAL HONEY STARS NESTLE 300G.(175854),ซีเรียล-ฮันนี่สตาร์เนสท์เล่ 300ก.(175854),BOX,,,111.34,,,,A,7,,
15080030,SNACK-COIN CHECK TOPGOLUCKY BIG (8858694621245),ขนมตกแต่ง-คอยน์ช็อกท็อปโกลัคกี้ใหญ่(8858694621245),PACK,,,46.73,,,,A,7,,
15080024,SNACK-CHOC COIN GOLD SMALL(1x60)/(8850305320264),ขนมตกแต่ง-ช็อคคอยน์เหรียญทอง(เล็ก)(1x60)/(8850305320264),PACK,,,46.73,,,,A,7,,
15080025,SNACK-CHOC COIN GOLDEN BALL 120G.(8850305320400),ขนมตกแต่ง-ช็อคโกแลตช็อคคอยน์บอลทอง 120ก.(8850305320400),BOX,,,24.3,,,,A,7,,
15000034,SBUX-DARK ESPRESSO ROASTWB 1KG.(1*6)/CASE(12444854),สตาร์บัค-เมล็ดกาแฟคั่วเข้ม 1กก.(1*6)/ลัง(12444854),Case,,,9240,,,,A,7,,
15080088,ขนมปังปิ๊บ แครกเกอร์หวาน 3.9-4กก.ตราฟ้าไทย(8850244121281),ขนมปังปิ๊บ แครกเกอร์หวาน 3.9-4กก.ตราฟ้าไทย(8850244121281),Tank,,,387.85,,,,A,7,,
15090007,SUGAR PURE REFINED MITR PHOL 1 KG. (1x5) (230449) : ,น้ำตาลทรายขาวบริสุทธิ์ มิตรผล 1 กก.(1x5)/(230449),KG,,,28.04,,,,A,7,,
15090066,น้ำตาลทรายขาวบริสุทธิ์ 1 กก.ตรามิตรผล 1*25/กส.(230394),น้ำตาลทรายขาวบริสุทธิ์ 1 กก.ตรามิตรผล 1*25/กส.(230394),Sack,,,700.93,,,,A,7,,
15000027,TEA HORSE 25 G. (1x12) (9005805030062),ชาม้าโหล 25ก.(1x12)/(9005805030062),PACK,,,60.75,,,,A,7,,
