StoreId,ProductCode,ProductDesc1,ProductDesc2,InventoryUnit,Qty,
1FB03,15000032,COFFEE WORKS SABROSO 500 G.(1x10/CASE) ,COFFEE WORKS SABROSO 500 G.(1x10/CASE) ,BAG,0,
1FB03,20000001,COKE CAN 325 ML.(1x24)/(358579),โค้ก(กระป๋อง) 325มล.(1x24)/(358579),CAN,33,
1FB03,20000002,COKE LIGHT CAN 325 ML.(1x24)/(100512),โค้กไลท์(กระป๋อง) 325มล.(1x24)/(100512),CAN,28,
1FB03,20000003,COKE PLASTIC BTL 1.25 L. (1x12)/(358891),โค้ก(ขวด) 1.25ล.(1x12)/(358891),BTL,0,
1FB03,20000004,ORANGE FANTA CAN 325 ML.1x24/(358657),น้ำส้มแฟนต้า(กระป๋อง) 325 มล.1x24/(358657),CAN,26,
1FB03,20000005,ORANGE FANTA PLASTIC BTL 1.25L.(1x12)/(359151),น้ำส้มแฟนต้า(ขวด) 1.25ล.(1x12)/(359151),BTL,0,
1FB03,20000006,SCHWEPPES GINGER ALE CAN 330 ML. (1x24) (146882),SCHWEPPES GINGER ALE CAN 330 ML. (1x24) (146882),CAN,27,
1FB03,20000007,SCHWEPPES TONIC WATER CAN 330 ML. (1x24) (146879),SCHWEPPES TONIC WATER CAN 330 ML. (1x24) (146879),CAN,40,
1FB03,20000008,SODA WATER ONE WAY SINGHA 325 ML.1x24/(160629),โซดาวันเวย์ สิงห์ 325มล.1x24/(160629),BTL,0,
1FB03,20000009,SPRITE CAN 325 ML.1x24/(358839),SPRITE CAN 325 ML.1x24/(358839),CAN,41,
1FB03,20000010,SPRITE PLASTIC BTL 1.25 L.1x12/(358930),SPRITE PLASTIC BTL 1.25 L.1x12/(358930),BTL,0,
1FB03,20000011,ESPRESSO BIRDY 180ML.(1*6)/PACK(151318),กาแฟเอสเปรสโซ เบอร์ดี้ 180 มล.(1*6)/(151318),CAN,0,
1FB03,20000012,ROBUSTA BIRDY 180ML.(1*6)/PACK,กาแฟโรบัสต้า เบอร์ดี้ 180มล.(1*6)/แพ็ค,CAN,0,
1FB03,20000013,COKE ZERO CAN 325 ML.1x24/(100511),โค้กซีโร่(กระป๋อง) 325มล.1x24/(100511),CAN,0,
1FB03,20000014,ORANGE FANTA CAN 325ML.(1x6)/(163773),น้ำส้มแฟนต้า(กระป๋อง)325มล.(1x6)/(163773),CAN,0,
1FB03,20000015,RED BULL CAN 250 ML. (1x24) (227728),RED BULL CAN 250 ML. (1x24) (227728),CAN,0,
