SKU#,Description,Local Description,Unit,Qty From,QtyTo,Quote Price,Foc,Discount Percent,Discount Amount,TaxType,TaxRate,Vendor SKU#,Comment
'12000001,APPLE GREEN,แอปเปิ้ลเขียว(6 ลูก/กก.),PCS,,,15,,,,N,0,,
'12000002,APPLE RED,แอปเปิ้ลแดง(6 ลูก/กก.),PCS,,,16,,,,N,0,,
'12000015,JINTARA WATERMELON,แตงโมจินตรา,KG,,,19,,,,N,0,,
12000091,มะพร้าวอ่อน(ทะลาย),มะพร้าวอ่อน(ทะลาย),EA,,,28,,,,,,,
'12000016,KIWI FRUIT ,กีวี ,PCS,,,28,,,,N,0,,
'12000029,YOUNG COCONUT(CUT) - GREEN,มะพร้าวอ่อนปอกเปลือกปาดเขียว(ปาดหัว/ท้าย),PCS,,,30,,,,N,0,,
'12000034,YOUNG COCONUT(CUT) - WHITE,มะพร้าวอ่อนปาดขาว,PCS,,,33,,,,N,0,,
'12000069,แตงโม ตอปิโด,แตงโม-ตอปิโด,KG,,,38,,,,N,0,,
'12000019,MANGO,มะม่วงดิบ,KG,,,40,,,,N,0,,
'12000026,PINEAPPLE LARGE,สับปะรดใหญ่,PCS,,,43,,,,N,0,,
'12000035,CANTALOUP ORANGE,แคนตาลูปส้ม,KG,,,43,,,,N,0,,
'12000057,ORANGE LOCAL NO.1,ส้มเขียวหวาน เบอร์ 1,KG,,,48,,,,N,0,,
'12000056,ORANGE LOCAL,ส้มสายน้ำผึ้ง,KG,,,55,,,,N,0,,
'12000058,ORANGE LOCAL NO.O,ส้มเขียวหวาน เบอร์ 0,KG,,,55,,,,N,0,,
'12000041,BANANA FINGER,กล้วยเล็บมือนาง,BUNCH,,,55,,,,N,0,,
12000061,RAMBUTAN,เงาะ,KG,,,55,,,,,,,
'12000063,SA LEE FRUIT B 5 / S 5 PCS,สาลี่น้ำผึ้งถ้าใหญ่ 3 / เล็ก 5 ลูก(ผลไม้ไหว้ศาล),KG,,,58,,,,N,0,,
'12000047,DRAGON FRUIT 3 PCS,แก้วมังกรขาว(ขอ3ลูกผลไม้ไหว้ศาล),KG,,,58,,,,N,0,,
'12000008,DRAGON FRUIT,แก้วมังกรขาว,KG,,,58,,,,N,0,,
'12000004,BANANA SWEET,กล้วยน้ำว้า,BUNCH,,,60,,,,N,0,,
'12000033,SA LEE FRUIT,สาลี่ทอง,KG,,,65,,,,N,0,,
'12000067,TONGDEE POMELO 1 PCS. ,ส้มโอทองดี 1 ลูก.,PCS,,,65,,,,N,0,,
'12000013,GUAVA FRUIT-กิมจู,ฝรั่งกิมจู,KG,,,65,,,,N,0,,
'12000003,BANANA EGGS,กล้วยไข่,BUNCH,,,65,,,,N,0,,
12000083,PASSION FRUIT,เสาวรสสด,KG,,,65,,,,,,,
'12000022,ORANGE SUNQUID KG,ส้มซันควิด,KG,,,68,,,,N,0,,
'12000075,ส้มโชกุนลูกใหญ่,ส้มโชกุนลูกใหญ่,KG,,,70,,,,N,0,,
'12000036,CHOKUN ORANGE,ส้มโชกุน(ใหญ่ 5 ลูก/เล็ก 9 ลูกสำหรับผลไม้ไหว้ศาล),KG,,,70,,,,N,0,,
'12000040,AVOCADO(EACH),อโวคาโด(ลูก),PCS,,,75,,,,N,0,,
'12000053,LONGAN,ลำไย,KG,,,75,,,,N,0,,
'12000024,PAPAYA HONLAND,มะละกอฮอลแลนด์,KG,,,75,,,,N,0,,
'12000068,แก้วมังกรแดง,แก้วมังกรแดง,KG,,,78,,,,N,0,,
'12000027,PINEAPPLE SRIRACHA ,สับปะรดศรีราชา/ปัตตาเวีย,KG,,,79,,,,N,0,,
'12000014,JACK FRUIT PEELED WITH SEED,ขนุนแกะ(มีเม็ด),KG,,,85,,,,N,0,,
'12000054,MANDARIN ORANGE,ส้มแมนดาริน,KG,,,110,,,,N,0,,
12000072,กล้วยหอม เกรด A,กล้วยหอม เกรด A, BUNCH,,,110,,,,,,,
'12000005,BLUEBERRY FRESH 125G.,บลูเบอรี่สด 125ก.,PACK,,,115,,,,N,0,,
'12000009,GRAPE RED IMPORT 1KG.,องุ่นแดงนอก 1 กก.,KG,,,135,,,,N,0,,
'12000021,MANGO YELLOW (2-3 ลูก/กก.),มะม่วงน้ำดอกไม้สุก(2-3 ลูก/กก.),KG,,,198,,,,N,0,,
'12000064,STRABERRY FRESH 250G.,สตรอเบอร์รีสดนำเข้า 250ก.,PACK,,,250,,,,N,0,,
'12000010,GRAPES GREEN ,องุ่นเขียว,KG,,,285,,,,N,0,,
