SKU#,Description,Local Description,Unit,Qty From,QtyTo,Quote Price,Foc,Discount Percent,Discount Amount,TaxType,TaxRate,Vendor SKU#,Comment
'16010018,CHICKEN NUGGET 1KG.,นัตเก็ตไก่ 1กก.,KG,,,115,,,,A,7,,
'10050002,BACON SMOKED US (2.0-2.5 MM/S) 35-43 PCS/KG 5KG.,BACON SMOKED US (2.0-2.5 MM/S) 35-43 PCS/KG 5KG.,CASE,,,฿215.00,,,,A,7,,
'14020019,CHEESE EDAM BLOCK 2.8-3.2 KG.,อีดัมชีสบล็อก 2.8-3.2 กก.,KG,,,฿335.00,,,,A,7,,
'14020002,CHESS GOUDA BLOCK 3KG.(6UH004),CHESS GOUDA BLOCK 3KG.(6UH004),KG,,,335,,,,A,7,,
'15010087,ALMOND POWDER ARO 500G.(819965),อัลมอนด์ผงเอโร่ 500 กรัม(819965),BAG,,,350,,,,A,7,,
'14020024,CHEESE MOZZARELLA FOR PIZZA Prima2.38KG.(44655),MOZZARELLA FOR PIZZA Prima 2.38KG.(44655),KG,,,350,,,,A,7,,
'10010013,PORK RIB FROZEN SIZE 600-700G. (6-7KG./BOX),ซี่โครงหมูแผ่นขนาด 5 นิ้ว 600-700 (6-7กก./กล่อง),KG,,,350,,,,N,0,,
'10000004,GRASS FED AUS. FRPZEN BEEF MINCE 3 KG.,เนื้อบดออสเตรเลีย 3 กก.,KG,,,360,,,,N,0,,
'14020026,CHEESE CHEDDAR ORANGE 3KG.(37123),CHEESE CHEDDAR ORANGE 3KG.(37123),KG,,,฿450.00,,,,A,7,,
'14020009,CHEESE EDAM BALL 1-2 KG.(9040802),อีดัมชีสบอล 1-2 กก./ลูก(9040802),KG,,,฿480.00,,,,A,7,,
'14020022,CHEESE GOUDA Wheel 4-5 KG.(9040801),CHEESE GOUDA Wheel 4-5 KG.(9040801),KG,,,500,,,,A,7,,
'10040003,LAMP SHOULDER BONELESS NZ,ไหล่แกะไม่ติดกระดูกนิวซีแลนด์,KG,,,610,,,,N,0,,
'11000029,TUNA SAKU AAA (1DT004),เนื้อทูน่าสากุเกรด3A(1DT004),KG,,,630,,,,N,0,,
'16000002,"FRENCH FRIES 7/7"" SHOESTRING (1x8)","มันฝรั่งซูสตริง ตราซันนี่เดย์ 7/7"" (1x8)",CASE,,,668,,,,A,7,,
'10030002,SMOKED DUCK BREAST 1 กก.,อกเป็ดรมควัน 1 กก.,KG,,,730,,,,A,7,,
'17080011,FROZEN SMOKED SALMON SILCE,เนื้อปลาแซลมอนรมควันสไลด์  แช่แข็ง,KG,,,825,,,,A,7,,
'14020005,CHEESE PARMESAN BLOCK 2.3KG.,พาร์มีซานชีส(แท่ง) 2.3 กก.,KG,,,843,,,,A,7,,
'15010004,BALSAMIC VINEGAR 5L.(12501),BALSAMIC VINEGAR 5L.(12501),GAL,,,1050,,,,A,7,,
15010039,OLIVES BLACK PITTED 4 KG.(58023B),มะกอกดำไม่มีเมล็ดขนาด 4 กก.(58023B),CAN,,,1180,,,,N,0,,
'15110001,EXTRA VIRGIN OLIVE OIL (Alianza) Spain 5L.,น้ำมันมะกอก EXTRA VIRGIN(Alianza) Spain 5L.,GAL,,,1500,,,,A,7,,
'17000001,RIBEYE AUS EBONY CHOICE 5-8 KG.,เนื้อริบอายออสสเตรเลีย 5-8 กก.,KG,,,1550,,,,N,0,,
'10000010,SRIPLOPN AUS EBONY PRIME MB4-5 GRAINFED 5-7.5KG/PCS,เนื้อสันนอกออสเตรเลียเกรด MB4-5/5-7.5กก./ชิ้น,KG,,,1550,,,,N,0,,
'14030016,WHIPPING CREAM LACTOFIL GOLD 1L.(1x12),วิปปิ้งครีมแลคโตฟิลโกลด์ 1ล.(1x12),CASE,,,1800,,,,A,7,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
