SKU#,Description,Local Description,Unit,Qty From,QtyTo,Quote Price,Foc,Discount Percent,Discount Amount,TaxType,TaxRate,Vendor SKU#,Comment
'15130001,AROMAT FLAVORED  1KG.(1x6)/(119006),อโรมาต คนอร์ 1 กก.(1x6)/(119006),BOX,,,196,,,,A,7,,
'15120031,OYSTER SAUCE KNORR 5KG.(103421),ซอสหอยนางรม คนอร์ 5 กก.(103421),GAL,,,213,,,,A,7,,
15050008,แป้งทอดกรอบ ยี่ห้อคนอร์ 500ก.1*6/ลัง(121579),แป้งทอดกรอบ ยี่ห้อคนอร์ 500ก.1*6/ลัง(121579),BAG,,,48,,,,A,7,,
'14030006,FILLING BLUEBERRY BESTFOOD 900G.(1x9)/(183452),ฟิลลิ่งบลูเบอรี่เบสท์ฟู๊ดส์ 900ก.(1x9)/(183452),BAG,,,39,,,,A,7,,
'14030007,FILLING ORANGE BESTFOOD 900G. (1*9)/(195761),ฟิลลิ่งส้มเบสท์ฟู๊ดส์ 900ก.(1*9)(195761),BAG,,,39,,,,A,7,,
'14030008,FILLING STRAWBERRY BESTFOOD 900G. (1x9)/(183443),ฟิลลิ่งสตรอเบอร์รี่เบสท์ฟู้ด 900ก.(1x9)(183443),BAG,,,39,,,,A,7,,
'15110004,SALAD OIL BEST FOOD 3.3L.(175249),น้ำมันสลัด เบสท์ฟู้ดส์ 3.3 ลิตร(175249),GAL,,,467,,,,A,7,,
'15010138,MASHED POTATO KNORR 2KG.(827552),มันฝรั่งบดสำเร็จรูปคนอร์ 2 กก.(827552),BOX,,,534,,,,A,7,,
'15130004,CHICKEN BROTH  KNORR AROY SURE 800 G 1*10 (844335),ผงปรุงรสไก่ คนอร์อร่อยชัวร์ 800ก.1*10/(844335),BAG,,,79,,,,A,7,,
'15120029,TAMARIND SAUCE KAORR 1KG.(1x9)/(144146),ซอสมะขามเปียกเข้มข้น คนอร์ 1 กก.(1x9)/(144146),BAG,,,99,,,,A,7,,
'15130028,LEMON POWDER 400G.(201908),ผงมะนาว คนอร์ 400ก.(201908),BAG,,,73,,,,A,7,,
'15140003,JASMINE RICE FOOD&SERVICE CHAT 45KG.,ข้าวหอมมะลิฟู้ดส์&เซอร์วิสตราฉัตร 45 กก.,SACK,,,1140,,,,N,0,,
'14010020,THOUSAND ISLAND BEST FOODS 1 KG.(1x9) (184324),น้ำสลัดเทาซันไอแลนด์เบสท์ฟู้ดส์1 กก.(1x9)/(184324),BAG,,,148,,,,A,7,,
'14030011,SALAD CREAM BEST FOODS 1KG.(1x9)/(184315),สลัดครีมเบสท์ฟู้ดส์ 1 กก.(1x9)/(184315),BAG,,,145,,,,A,7,,
'15140002,JASMINE RICE BLACK&GOLD CHAT 45KG.,ข้าวหอมมะลิแบล็ค&โกลด์ตราฉัตร 45 กก.,SACK,,,1510,,,,N,0,,
'15130041,DAMIGRADE BROWN SAUCE 1KG.(1x6)/(14404),ผงเดมิเกรชบราวซอส คนอร์ 1 กก.(1x6)/(14404),BOX,,,294,,,,A,7,,
'15080014,BAKING POWDER BEST FOOD 1KG.(204345),ผงฟู เบสท์ฟูดส์ 1 กก.(204345),BAG,,,118,,,,A,7,,
'15130042,DEMI GLACE GOLD BROWN KNORR 1KG.(181080),ผงปรุงเดมิเกลซบราวน์ซอสโกลด์ คนอร์ 1 กก.(181080),KG,,,391,,,,A,7,,
15140017,ข้าวสารคุณภาพ 40กก.ตราชากังราว(สีเขียว),ข้าวสารคุณภาพ 40กก.ตราชากังราว(สีเขียว),SACK,,,1060,,,,N,0,,
