SKU#,Description,Local Description,Unit,Qty From,QtyTo,Quote Price,Foc,Discount Percent,Discount Amount,TaxType,TaxRate,Vendor SKU#,Comment
'10020023,CHICKEN WHOLE,ไก่ตัว,KG,,,62,,,,N,0,,
'10020008,CHICKEN MEAT GROUND,ไก่บด,KG,,,65,,,,N,0,,
'10020001,CHICKEN  CUTED,ไก่สับชิ้น(แกง),KG,,,50,,,,N,0,,
'10050020,CHICKEN HAM,ไก่แฮม,KG,,,130,,,,A,7,,
'10020003,CHICKEN BONE ( RIBS ),ซี่โครงไก่,KG,,,29,,,,N,0,,
'10010002,PORK BONE ( SPRIA ) SLICED,ซี่โครงหมูสับ,KG,,,125,,,,N,0,,
'10020007,CHICKEN LRG,ตีนไก่(ตีนไก่ตัดเล็บ),KG,,,89,,,,N,0,,
'10020017,CHICKEN DRUM STICK WITH SIDE,น่องไก่ติดสะโพก,KG,,,79,,,,N,0,,
'10020005,CHICKEN DRUM STICKS 2KG.,น่องไก่ล้วน 2 กก.,KG,,,79,,,,N,0,,
'10000006,BEEF MEAT GROUND,เนื้อไทยบด,KG,,,225,,,,N,0,,
'10000007,BEEF TENDERLOIN LOCAL (AAA),เนื้อสันในวัวโคขุนแต่ง,KG,,,280,,,,N,0,,
'11000003,CAT FISH FRESH SLICED,ปลาดุกหั่นเนื้อล้วน,KG,,,82,,,,N,0,,
'10020012,CHICKEN WINGS,ปีกไก่เต็ม,KG,,,95,,,,N,0,,
'10020018,CHICKEN WINGS UP (Halan) 2KG.(893188),ปีกไก่บนฮาลาล 2 กก.(893188),KG,,,85,,,,N,0,,
'10020010,CHICKEN TOP ROUND  WITH SKIN 2 KG.,สะโพกไก่ติดหนังเลาะกระดูก 2 กก.,KG,,,85,,,,N,0,,
'10020011,CHICKEN TOP ROUND WITH SKIN SLICE (2KG.),สะโพกไก่ติดหนังสไลด์(2กก.),KG,,,57,,,,N,0,,
'10020009,CHICKEN TOP ROUND  WITH OUT BONE&SKIN,สะโพกไก่ลอกหนังเลาะกระดูก,KG,,,125,,,,N,0,,
'10010011,PORK TOP ROUND,สะโพกหมู,KG,,,108,,,,N,0,,
'10020006,CHICKEN FILLET,สันในไก่,KG,,,78,,,,N,0,,
'10010010,PORK TENDERLOIN,สันในหมู,KG,,,135,,,,N,0,,
'10050032,"CHICKEN SAUSAGE 3"" GF",ไส้กรอกไก่(จีเอฟ),KG,,,115,,,,A,7,,
'10050031,CHICKEN SAUSAGE,ไส้กรอกไก่รมควัน(หนังกรอบ) 1000ก.,KG,,,95,,,,A,7,,
'10050007,"CHICKEN SAUSAGE FRESH 3.5"" 1KG.",ไส้กรอกไก่สด 3.5 นิ้ว 1 กก.,KG,,,140,,,,A,7,,
'10050011,"POKR FRESH  SAUSAGE 3.5""",ไส้กรอกหมูสด 3.5 นิ้ว,KG,,,200,,,,A,7,,
'10010005,PORK HIP SLICED,หมูเนื้อแดงหั่น,KG,,,108,,,,N,0,,
'10010007,PORK MEAT GROUND B,หมูบดเกรด B ปนมัน 20%,KG,,,80,,,,N,0,,
'10010019,PORK LOIN,หมูสันนอก,KG,,,125,,,,N,0,,
'10010001,PORK BELLY,หมูสามชั้น,KG,,,170,,,,N,0,,
'10010016,PORK BELLY SLICED,หมูสามชั้น(หั่น),KG,,,170,,,,N,0,,
'10010024,หมูสามชั้นแผ่นมันบางๆ,หมูสามชั้นแผ่นมันบางๆ,KG,,,170,,,,N,0,,
'10010025,หมูสามชั่นหั่นเต๋า,หมูสามชั่นหั่นเต๋า,KG,,,170,,,,N,0,,
'10010026,หมูสามชั้นหั่นเส้นยาว,หมูสามชั้นหั่นเส้นยาว,KG,,,170,,,,N,0,,
'10050022,HAM(PORK),หมูแฮม,KG,,,160,,,,A,7,,
'10020016,CHICKEN BREAST WITH SKIN 2KG.,อกไก่ติดหนัง 2 กก.,KG,,,67,,,,N,0,,
'10020004,CHICKEN BREAST PACK 2KG.,อกไก่ลอกหนัง 2 กก.,KG,,,75,,,,N,0,,
