SKU#,Description,Local Description,Unit,Qty From,QtyTo,Quote Price,Foc,Discount Percent,Discount Amount,TaxType,TaxRate,Vendor SKU#,Comment
'12000001,APPLE GREEN,แอปเปิ้ลเขียว(6 ลูก/กก.),PCS,,,12,,,,N,0,,
'12000002,APPLE RED,แอปเปิ้ลแดง(6 ลูก/กก.),PCS,,,14,,,,N,0,,
'12000030,แตงโมกินรี,แตงโมกินรี,KG,,,14.5,,,,N,0,,
'12000024,PAPAYA HONLAND,มะละกอฮอลแลนด์,KG,,,27,,,,N,0,,
'12000035,CANTALOUP ORANGE,แคนตาลูปส้ม,KG,,,32.5,,,,N,0,,
'12000019,MANGO,มะม่วงดิบ,KG,,,35,,,,N,0,,
'12000057,ORANGE LOCAL NO.1,ส้มเขียวหวาน เบอร์ 1,KG,,,36,,,,N,0,,
'12000013,GUAVA FRUIT-กิมจู,ฝรั่งกิมจู,KG,,,37,,,,N,0,,
'12000067,TONGDEE POMELO 1 PCS. ,ส้มโอทองดี 1 ลูก.,PCS,,,40,,,,N,0,,
'12000058,ORANGE LOCAL NO.O,ส้มเขียวหวาน เบอร์ 0,KG,,,41,,,,N,0,,
'12000056,ORANGE LOCAL,ส้มสายน้ำผึ้ง,KG,,,43,,,,N,0,,
'12000026,PINEAPPLE LARGE,สับปะรดใหญ่,PCS,,,45,,,,N,0,,
'12000008,DRAGON FRUIT,แก้วมังกรขาว,KG,,,49,,,,N,0,,
'12000022,ORANGE SUNQUID KG,ส้มซันควิด,KG,,,55,,,,N,0,,
'12000075,ส้มโชกุนลูกใหญ่,ส้มโชกุนลูกใหญ่,KG,,,55,,,,N,0,,
'12000053,LONGAN,ลำไย,KG,,,55,,,,N,0,,
'12000047,DRAGON FRUIT 3 PCS,แก้วมังกรขาว(ขอ3ลูกผลไม้ไหว้ศาล),KG,,,55,,,,N,0,,
'12000040,AVOCADO(EACH),อโวคาโด(ลูก),PCS,,,65,,,,N,0,,
'12000063,SA LEE FRUIT B 5 / S 5 PCS,สาลี่น้ำผึ้งถ้าใหญ่ 3 / เล็ก 5 ลูก(ผลไม้ไหว้ศาล),KG,,,65,,,,N,0,,
'12000033,SA LEE FRUIT,สาลี่ทอง,KG,,,65,,,,N,0,,
'12000021,MANGO YELLOW (2-3 ลูก/กก.),มะม่วงน้ำดอกไม้สุก(2-3 ลูก/กก.),KG,,,65,,,,N,0,,
'12000014,JACK FRUIT PEELED WITH SEED,ขนุนแกะ(มีเม็ด),KG,,,65,,,,N,0,,
12000083,PASSION FRUIT,เสาวรสสด,KG,,,65,,,,,,,
'12000054,MANDARIN ORANGE,ส้มแมนดาริน,KG,,,75,,,,N,0,,
'12000005,BLUEBERRY FRESH 125G.,บลูเบอรี่สด 125ก.,PACK,,,83,,,,N,0,,
'12000068,แก้วมังกรแดง,แก้วมังกรแดง,KG,,,95,,,,N,0,,
'12000009,GRAPE RED IMPORT 1KG.,องุ่นแดงนอก 1 กก.,KG,,,145,,,,N,0,,
'12000010,GRAPES GREEN ,องุ่นเขียว,KG,,,165,,,,N,0,,
'12000031,องุ่นแดงไร้เมล็ด AUS 1 กก.,องุ่นแดงไร้เมล็ด AUS 1 กก.,KG,,,185,,,,N,0,,
