SKU#,Description,Local Description,Unit,Qty From,QtyTo,Quote Price,Foc,Discount Percent,Discount Amount,TaxType,TaxRate,Vendor SKU#,Comment
'12000003,BANANA EGGS,กล้วยไข่,BUNCH,,,48,,,,N,0,,
'12000041,BANANA FINGER,กล้วยเล็บมือนาง,BUNCH,,,48,,,,N,0,,
'12000037,BANANA LARGE,กล้วยหอม,BUNCH,,,63,,,,N,0,,
'12000016,KIWI FRUIT ,กีวี ,PCS,,,22,,,,N,0,,
'12000008,DRAGON FRUIT,แก้วมังกรขาว,KG,,,43,,,,N,0,,
'12000047,DRAGON FRUIT 3 PCS,แก้วมังกรขาว(ขอ3ลูกผลไม้ไหว้ศาล),KG,,,43,,,,N,0,,
'12000068,แก้วมังกรแดง,แก้วมังกรแดง,KG,,,85,,,,N,0,,
'12000014,JACK FRUIT PEELED WITH SEED,ขนุนแกะ(มีเม็ด),KG,,,60,,,,N,0,,
'12000044,CANTALOUP MELON GREEN,แคนตาลูปเมลอนเขียว,KG,,,89,,,,N,0,,
'12000035,CANTALOUP ORANGE,แคนตาลูปส้ม,KG,,,30,,,,N,0,,
'12000028,ROSE APPLE RED ,ชมพู่แดง ,KG,,,105,,,,N,0,,
'12000030,แตงโมกินรี,แตงโมกินรี,KG,,,20,,,,N,0,,
'12000015,JINTARA WATERMELON,แตงโมจินตรา,KG,,,20,,,,N,0,,
'12000005,BLUEBERRY FRESH 125G.,บลูเบอรี่สด 125ก.,PACK,,,115,,,,N,0,,
'12000013,GUAVA FRUIT-กิมจู,ฝรั่งกิมจู,KG,,,43,,,,N,0,,
'12000050,JUJUBE,พุทรา,KG,,,42,,,,N,0,,
'12000029,YOUNG COCONUT(CUT) - GREEN,มะพร้าวอ่อนปอกเปลือกปาดเขียว(ปาดหัว/ท้าย),PCS,,,22,,,,N,0,,
'12000034,YOUNG COCONUT(CUT) - WHITE,มะพร้าวอ่อนปาดขาว,PCS,,,30,,,,N,0,,
'12000074,มะม่วงแก้วขมิ้น (ดิบ),มะม่วงแก้วขมิ้น(ดิบ),KG,,,45,,,,N,0,,
'12000021,MANGO YELLOW (2-3 ลูก/กก.),มะม่วงน้ำดอกไม้สุก(2-3 ลูก/กก.),KG,,,105,,,,N,0,,
'12000024,PAPAYA HONLAND,มะละกอฮอลแลนด์,KG,,,35,,,,N,0,,
'12000053,LONGAN,ลำไย,KG,,,55,,,,N,0,,
'12000064,STRABERRY FRESH 250G.,สตรอเบอร์รีสดนำเข้า 250ก.,PACK,,,250,,,,N,0,,
'12000058,ORANGE LOCAL NO.O,ส้มเขียวหวาน เบอร์ 0,KG,,,38,,,,N,0,,
'12000057,ORANGE LOCAL NO.1,ส้มเขียวหวาน เบอร์ 1,KG,,,34,,,,N,0,,
'12000006,CHINESE ORANGE,ส้มจีน,KG,,,45,,,,N,0,,
'12000022,ORANGE SUNQUID KG,ส้มซันควิด,KG,,,75,,,,N,0,,
'12000054,MANDARIN ORANGE,ส้มแมนดาริน,KG,,,95,,,,N,0,,
'12000056,ORANGE LOCAL,ส้มสายน้ำผึ้ง,KG,,,40,,,,N,0,,
'12000067,TONGDEE POMELO 1 PCS. ,ส้มโอทองดี 1 ลูก.,PCS,,,40,,,,N,0,,
'12000027,PINEAPPLE SRIRACHA ,สับปะรดศรีราชา/ปัตตาเวีย,KG,,,30,,,,N,0,,
'12000026,PINEAPPLE LARGE,สับปะรดใหญ่,PCS,,,33,,,,N,0,,
'12000033,SA LEE FRUIT,สาลี่ทอง,KG,,,60,,,,N,0,,
'12000063,SA LEE FRUIT B 5 / S 5 PCS,สาลี่น้ำผึ้งถ้าใหญ่ 3 / เล็ก 5 ลูก(ผลไม้ไหว้ศาล),KG,,,60,,,,N,0,,
'12000009,GRAPE RED IMPORT 1KG.,องุ่นแดงนอก 1 กก.,KG,,,95,,,,N,0,,
'12000031,องุ่นแดงไร้เมล็ด AUS 1 กก.,องุ่นแดงไร้เมล็ด AUS 1 กก.,KG,,,165,,,,N,0,,
'12000040,AVOCADO(EACH),อโวคาโด(ลูก),PCS,,,50,,,,N,0,,
'12000001,APPLE GREEN,แอปเปิ้ลเขียว(6 ลูก/กก.),PCS,,,12,,,,N,0,,
'12000002,APPLE RED,แอปเปิ้ลแดง(6 ลูก/กก.),PCS,,,13,,,,N,0,,
