SKU#,Description,Local Description,Unit,Qty From,QtyTo,Quote Price,Foc,Discount Percent,Discount Amount,TaxType,TaxRate,Vendor SKU#,Comment,,,,,
'11030001,CRAB CARAPACE,กระดองปู,PCS,,,1,,,,,,,,,,,,
'11000018,FISH HEAD IS CHOPPED,หัวปลามง(สับ),KG,,,44,,,,,,,,,,,,
'11040005,OYSTER LOCAL,หอยนางรมไทยใหญ่,PCS,,,45,,,,,,,,,,,,
'11040003,MUSSEL,หอยแมลงภู่,KG,,,50,,,,N,0,,,,,,,
'10050003,BALLS FISH SHEET 500G.,ลูกชิ้นปลาแผ่น 500 กรัม,PACK,,,50,,,,,,,,,,,,
'11040006,SWEET CLAM ( LOCAL ),หอยหวานไทย,KG,,,54,,,,,,,,,,,,
'11040001,หอยตลับใหญ่,หอยตลับใหญ่,KG,,,64,,,,N,0,,,,,,,
17080002,FROZEN SQUID SLICE(PINEAPPLE) ,หมึกกล้วยหั่นบั้งสับปะรด แช่แข็ง,KG,,,67,,,,,,,,,,,,
'10050023,KANIKAMAOKO 500G./PACK,ปูอัด 500G./แพ็ค,PACK,,,68,,,,,,,,,,,,
'11000020,KIM SURE FISH FILLET,เนื้อปลากิมซั่วแล่,KG,,,68,,,,N,0,,,,,,,
'11000009,TAJONG FISH(HEAD CUT),ปลาตาจง(ตัดหัว),KG,,,72,,,,,,,,,,,,
'11000022,SABA FISH (108009),ปลาซาบะ(108009),KG,,,74,,,,,,,,,,,,
'10050041,LOUK CHIN PLA,ลูกชิ้นปลากลม,PACK,,,75,,,,,,,,,,,,
'11000002,CAT FISH FRESH,ปลาดุกตัว,KG,,,77,,,,N,0,,,,,,,
11040010,หอยลายไทยไซด์ 70-80 ตัว/กก.,หอยลายไทยไซด์ 70-80 ตัว/กก.,Kg,0,0,80,,,,,,,,,,,,
'11000005,PLA DAENG FISH (HEAD CUT),ปลากล้วยแดง(ตัดหัว),KG,,,83,,,,,,,,,,,,
'11000027,TUNA FISH ( THAI ) ( HEAD CUT ),ปลาลัง(ตัดหัว),KG,,,86,,,,,,,,,,,,
'11000006,PLA TU (HEAD CUT),ปลาทูลัง(ตัดหัว),KG,,,86,,,,,,,,,,,,
'11040004,MUSSEL MEAT WITH STEAM,เนื้อหอยแมลงภู่ลวก,KG,,,89,,,,N,0,,,,,,,
